<a_128><b_64><c_73>	Salmonella gastroenteritis	ICD9CM:0030
<a_182><b_15><c_211>	Gas gangrene	ICD9CM:0400
<a_73><b_204><c_40>	Toxic shock syndrome	ICD9CM:04082
<a_147><b_246><c_199>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified	ICD9CM:04100
<a_147><b_58><c_13>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A	ICD9CM:04101
<a_147><b_164><c_40>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B	ICD9CM:04102
<a_147><b_40><c_95>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C	ICD9CM:04103
<a_147><b_222><c_91>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]	ICD9CM:04104
<a_147><b_189><c_40>	Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus	ICD9CM:04109
<a_147><b_48><c_48>	Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified	ICD9CM:04110
<a_60><b_179><c_40>	Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site	ICD9CM:04111
<a_60><b_155><c_40>	Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site	ICD9CM:04112
<a_147><b_58><c_61>	Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus	ICD9CM:04119
<a_60><b_40><c_71>	Pneumococcus infection in conditions classified elsewhere and of unspecified site	ICD9CM:0412
<a_60><b_40><c_179>	FriedlÃ¤nder's bacillus infection in conditions classified elsewhere and of unspecified site	ICD9CM:0413
<a_233><b_199><c_13>	Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site	ICD9CM:0414
<a_233><b_199><c_89>	Other and unspecified Escherichia coli [E. coli]	ICD9CM:04149
<a_60><b_121><c_13>	Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site	ICD9CM:0415
<a_60><b_222><c_100>	Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site	ICD9CM:0416
<a_60><b_178><c_40>	Pseudomonas infection in conditions classified elsewhere and of unspecified site	ICD9CM:0417
<a_179><b_91><c_40>	Bacteroides fragilis	ICD9CM:04182
<a_60><b_50><c_165>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens	ICD9CM:04183
<a_60><b_246><c_205>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes	ICD9CM:04184
<a_60><b_98><c_223>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms	ICD9CM:04185
<a_255><b_225><c_77>	Helicobacter pylori [H. pylori]	ICD9CM:04186
<a_147><b_164><c_129>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria	ICD9CM:04189
<a_147><b_246><c_205>	Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site	ICD9CM:0419
<a_73><b_156><c_233>	Human immunodeficiency virus [HIV] disease	ICD9CM:042
<a_124><b_61><c_89>	Progressive multifocal leukoencephalopathy	ICD9CM:0463
<a_173><b_173><c_43>	Other specified viral meningitis	ICD9CM:0478
<a_82><b_227><c_16>	Unspecified viral meningitis	ICD9CM:0479
<a_173><b_55><c_67>	Meningitis due to adenovirus	ICD9CM:0491
<a_173><b_166><c_205>	Other specified non-arthropod-borne viral diseases of central nervous system	ICD9CM:0498
<a_173><b_166><c_159>	Unspecified non-arthropod-borne viral diseases of central nervous system	ICD9CM:0499
<a_100><b_126><c_139>	Varicella (hemorrhagic) pneumonitis	ICD9CM:0521
<a_37><b_21><c_115>	Varicella without mention of complication	ICD9CM:0529
<a_173><b_222><c_157>	Herpes zoster with meningitis	ICD9CM:0530
<a_124><b_156><c_200>	Postherpetic polyneuropathy	ICD9CM:05313
<a_173><b_192><c_49>	Herpes zoster with other nervous system complications	ICD9CM:05319
<a_152><b_80><c_14>	Herpes zoster dermatitis of eyelid	ICD9CM:05320
<a_152><b_37><c_116>	Otitis externa due to herpes zoster	ICD9CM:05371
<a_1><b_100><c_145>	Herpes zoster with other specified complications	ICD9CM:05379
<a_1><b_56><c_184>	Herpes zoster without mention of complication	ICD9CM:0539
<a_1><b_246><c_167>	Genital herpes, unspecified	ICD9CM:05410
<a_30><b_22><c_40>	Other genital herpes	ICD9CM:05419
<a_29><b_25><c_217>	Herpetic gingivostomatitis	ICD9CM:0542
<a_173><b_131><c_117>	Herpetic meningoencephalitis	ICD9CM:0543
<a_152><b_76><c_220>	Herpes simplex disciform keratitis	ICD9CM:05443
<a_82><b_102><c_41>	Herpes simplex with other specified complications	ICD9CM:05479
<a_1><b_56><c_48>	Herpes simplex without mention of complication	ICD9CM:0549
<a_233><b_110><c_152>	Other specified viral exanthemata	ICD9CM:0578
<a_1><b_227><c_65>	Viral exanthem, unspecified	ICD9CM:0579
<a_73><b_166><c_21>	Human herpesvirus 6 infection	ICD9CM:05881
<a_233><b_20><c_98>	Other human herpesvirus infection	ICD9CM:05889
<a_137><b_173><c_36>	Viral hepatitis A without mention of hepatic coma	ICD9CM:0701
<a_69><b_2><c_44>	Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta	ICD9CM:07020
<a_138><b_4><c_96>	Chronic viral hepatitis B with hepatic coma without hepatitis delta	ICD9CM:07022
<a_69><b_11><c_203>	Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta	ICD9CM:07030
<a_69><b_202><c_35>	Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta	ICD9CM:07031
<a_69><b_202><c_40>	Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta	ICD9CM:07032
<a_38><b_157><c_9>	Acute hepatitis C with hepatic coma	ICD9CM:07041
<a_38><b_146><c_13>	Chronic hepatitis C with hepatic coma	ICD9CM:07044
<a_69><b_202><c_22>	Acute hepatitis C without mention of hepatic coma	ICD9CM:07051
<a_137><b_173><c_156>	Hepatitis E without mention of hepatic coma	ICD9CM:07053
<a_69><b_50><c_203>	Chronic hepatitis C without mention of hepatic coma	ICD9CM:07054
<a_233><b_237><c_85>	Other specified viral hepatitis without mention of hepatic coma	ICD9CM:07059
<a_69><b_189><c_98>	Unspecified viral hepatitis C without hepatic coma	ICD9CM:07070
<a_138><b_101><c_244>	Unspecified viral hepatitis C with hepatic coma	ICD9CM:07071
<a_69><b_75><c_41>	Unspecified viral hepatitis without mention of hepatic coma	ICD9CM:0709
<a_73><b_71><c_52>	Infectious mononucleosis	ICD9CM:075
<a_2><b_164><c_108>	Other viral conjunctivitis	ICD9CM:0778
<a_97><b_164><c_133>	Viral warts, unspecified	ICD9CM:07810
<a_255><b_20><c_13>	Condyloma acuminatum	ICD9CM:07811
<a_22><b_135><c_9>	Other specified viral warts	ICD9CM:07819
<a_73><b_21><c_40>	Cytomegaloviral disease	ICD9CM:0785
<a_145><b_108><c_90>	Rhinovirus infection in conditions classified elsewhere and of unspecified site	ICD9CM:0793
<a_22><b_214><c_244>	Human papillomavirus in conditions classified elsewhere and of unspecified site	ICD9CM:0794
<a_73><b_166><c_122>	Human T-cell lymphotrophic virus, type I [HTLV-I]	ICD9CM:07951
<a_86><b_107><c_40>	Human immunodeficiency virus, type 2 [HIV-2]	ICD9CM:07953
<a_248><b_98><c_196>	Respiratory syncytial virus (RSV)	ICD9CM:0796
<a_233><b_98><c_223>	Other specified viral infection	ICD9CM:07989
<a_147><b_93><c_3>	Unspecified viral infection	ICD9CM:07999
<a_233><b_20><c_26>	Other ehrlichiosis	ICD9CM:08249
<a_197><b_173><c_93>	Chagas' disease with heart involvement	ICD9CM:0860
<a_73><b_156><c_3>	Bartonellosis	ICD9CM:0880
<a_73><b_121><c_49>	Lyme Disease	ICD9CM:08881
<a_73><b_156><c_41>	Babesiosis	ICD9CM:08882
<a_0><b_113><c_130>	Unspecified secondary syphilis	ICD9CM:0919
<a_40><b_6><c_24>	Syphilitic aortitis	ICD9CM:0931
<a_75><b_94><c_40>	Tabes dorsalis	ICD9CM:0940
<a_82><b_60><c_205>	Neurosyphilis, unspecified	ICD9CM:0949
<a_130><b_184><c_97>	Late syphilis, latent	ICD9CM:096
<a_1><b_246><c_199>	Latent syphilis, unspecified	ICD9CM:0971
<a_252><b_181><c_40>	Reiter's disease	ICD9CM:0993
<a_182><b_141><c_3>	Dermatophytosis of scalp and beard	ICD9CM:1100
<a_182><b_40><c_153>	Dermatophytosis of nail	ICD9CM:1101
<a_182><b_40><c_237>	Dermatophytosis of groin and perianal area	ICD9CM:1103
<a_182><b_76><c_11>	Dermatophytosis of foot	ICD9CM:1104
<a_182><b_40><c_193>	Dermatophytosis of the body	ICD9CM:1105
<a_182><b_64><c_223>	Dermatophytosis of other specified sites	ICD9CM:1108
<a_97><b_75><c_186>	Dermatophytosis of unspecified site	ICD9CM:1109
<a_22><b_150><c_40>	Other specified dermatomycoses	ICD9CM:1118
<a_97><b_75><c_179>	Dermatomycosis, unspecified	ICD9CM:1119
<a_152><b_28><c_243>	Candidiasis of mouth	ICD9CM:1120
<a_152><b_28><c_23>	Candidiasis of vulva and vagina	ICD9CM:1121
<a_19><b_184><c_40>	Candidiasis of other urogenital sites	ICD9CM:1122
<a_182><b_141><c_39>	Candidiasis of skin and nails	ICD9CM:1123
<a_100><b_80><c_213>	Candidiasis of lung	ICD9CM:1124
<a_100><b_131><c_113>	Disseminated candidiasis	ICD9CM:1125
<a_40><b_42><c_128>	Candidal endocarditis	ICD9CM:11281
<a_173><b_91><c_40>	Candidal meningitis	ICD9CM:11283
<a_152><b_40><c_179>	Candidal esophagitis	ICD9CM:11284
<a_128><b_156><c_200>	Candidal enteritis	ICD9CM:11285
<a_22><b_154><c_40>	Other candidiasis of other specified sites	ICD9CM:11289
<a_1><b_235><c_40>	Candidiasis of unspecified site	ICD9CM:1129
<a_100><b_135><c_14>	Infection by Histoplasma capsulatum, pneumonia	ICD9CM:11505
<a_156><b_206><c_19>	Histoplasmosis, unspecified, without mention of manifestation	ICD9CM:11590
<a_37><b_50><c_100>	Histoplasmosis, unspecified, other	ICD9CM:11599
<a_248><b_176><c_40>	Aspergillosis	ICD9CM:1173
<a_73><b_180><c_139>	Cryptococcosis	ICD9CM:1175
<a_152><b_187><c_179>	Zygomycosis [Phycomycosis or Mucormycosis]	ICD9CM:1177
<a_22><b_58><c_236>	Other and unspecified mycoses	ICD9CM:1179
<a_29><b_28><c_226>	Opportunistic mycoses	ICD9CM:118
<a_145><b_132><c_37>	Other specified schistosomiasis	ICD9CM:1208
<a_1><b_178><c_58>	Schistosomiasis, unspecified	ICD9CM:1209
<a_128><b_37><c_121>	Clonorchiasis	ICD9CM:1211
<a_73><b_131><c_229>	Cysticercosis	ICD9CM:1231
<a_248><b_80><c_165>	Malayan filariasis	ICD9CM:1251
<a_248><b_180><c_121>	Strongyloidiasis	ICD9CM:1272
<a_173><b_4><c_244>	Meningoencephalitis due to toxoplasmosis	ICD9CM:1300
<a_233><b_108><c_14>	Toxoplasmosis of other specified sites	ICD9CM:1307
<a_1><b_164><c_44>	Toxoplasmosis, unspecified	ICD9CM:1309
<a_152><b_64><c_179>	Trichomonal vulvovaginitis	ICD9CM:13101
<a_130><b_110><c_61>	Scabies	ICD9CM:1330
<a_130><b_127><c_37>	Sarcoidosis	ICD9CM:135
<a_248><b_91><c_40>	Pneumocystosis	ICD9CM:1363
<a_233><b_74><c_89>	Unspecified infectious and parasitic diseases	ICD9CM:1369
<a_179><b_150><c_11>	Late effects of respiratory or unspecified tuberculosis	ICD9CM:1370
<a_101><b_121><c_48>	Late effects of acute poliomyelitis	ICD9CM:138
<a_210><b_108><c_22>	Late effects of viral encephalitis	ICD9CM:1390
<a_233><b_222><c_80>	Late effects of other and unspecified infectious and parasitic diseases	ICD9CM:1398
<a_157><b_198><c_113>	Malignant neoplasm of upper lip, vermilion border	ICD9CM:1400
<a_15><b_196><c_36>	Malignant neoplasm of lip, unspecified, vermilion border	ICD9CM:1409
<a_28><b_40><c_36>	Malignant neoplasm of base of tongue	ICD9CM:1410
<a_10><b_74><c_78>	Malignant neoplasm of other sites of tongue	ICD9CM:1418
<a_15><b_50><c_70>	Malignant neoplasm of tongue, unspecified	ICD9CM:1419
<a_10><b_193><c_233>	Malignant neoplasm of parotid gland	ICD9CM:1420
<a_10><b_50><c_211>	Malignant neoplasm of anterior portion of floor of mouth	ICD9CM:1440
<a_10><b_44><c_13>	Malignant neoplasm of hard palate	ICD9CM:1452
<a_10><b_53><c_40>	Malignant neoplasm of soft palate	ICD9CM:1453
<a_10><b_53><c_109>	Malignant neoplasm of vallecula epiglottica	ICD9CM:1463
<a_28><b_76><c_40>	Malignant neoplasm of anterior aspect of epiglottis	ICD9CM:1464
<a_10><b_9><c_52>	Malignant neoplasm of posterior wall of nasopharynx	ICD9CM:1471
<a_15><b_95><c_26>	Malignant neoplasm of other specified sites of nasopharynx	ICD9CM:1478
<a_15><b_50><c_14>	Malignant neoplasm of nasopharynx, unspecified site	ICD9CM:1479
<a_28><b_135><c_209>	Malignant neoplasm of pyriform sinus	ICD9CM:1481
<a_15><b_20><c_133>	Malignant neoplasm of other specified sites of hypopharynx	ICD9CM:1488
<a_15><b_2><c_235>	Malignant neoplasm of hypopharynx, unspecified site	ICD9CM:1489
<a_15><b_2><c_48>	Malignant neoplasm of pharynx, unspecified	ICD9CM:1490
<a_28><b_135><c_13>	Malignant neoplasm of cervical esophagus	ICD9CM:1500
<a_28><b_48><c_40>	Malignant neoplasm of thoracic esophagus	ICD9CM:1501
<a_28><b_154><c_13>	Malignant neoplasm of upper third of esophagus	ICD9CM:1503
<a_28><b_75><c_82>	Malignant neoplasm of middle third of esophagus	ICD9CM:1504
<a_28><b_75><c_29>	Malignant neoplasm of lower third of esophagus	ICD9CM:1505
<a_15><b_45><c_124>	Malignant neoplasm of other specified part of esophagus	ICD9CM:1508
<a_15><b_120><c_48>	Malignant neoplasm of esophagus, unspecified site	ICD9CM:1509
<a_28><b_82><c_214>	Malignant neoplasm of cardia	ICD9CM:1510
<a_94><b_188><c_203>	Malignant neoplasm of pyloric antrum	ICD9CM:1512
<a_94><b_235><c_91>	Malignant neoplasm of fundus of stomach	ICD9CM:1513
<a_94><b_41><c_235>	Malignant neoplasm of body of stomach	ICD9CM:1514
<a_94><b_170><c_41>	Malignant neoplasm of greater curvature of stomach, unspecified	ICD9CM:1516
<a_94><b_50><c_52>	Malignant neoplasm of other specified sites of stomach	ICD9CM:1518
<a_94><b_170><c_39>	Malignant neoplasm of stomach, unspecified site	ICD9CM:1519
<a_23><b_53><c_77>	Malignant neoplasm of duodenum	ICD9CM:1520
<a_23><b_41><c_29>	Malignant neoplasm of jejunum	ICD9CM:1521
<a_23><b_41><c_60>	Malignant neoplasm of ileum	ICD9CM:1522
<a_23><b_110><c_71>	Malignant neoplasm of other specified sites of small intestine	ICD9CM:1528
<a_94><b_44><c_40>	Malignant neoplasm of small intestine, unspecified site	ICD9CM:1529
<a_23><b_193><c_133>	Malignant neoplasm of hepatic flexure	ICD9CM:1530
<a_94><b_21><c_186>	Malignant neoplasm of transverse colon	ICD9CM:1531
<a_23><b_53><c_217>	Malignant neoplasm of descending colon	ICD9CM:1532
<a_94><b_21><c_67>	Malignant neoplasm of sigmoid colon	ICD9CM:1533
<a_94><b_227><c_196>	Malignant neoplasm of cecum	ICD9CM:1534
<a_23><b_25><c_3>	Malignant neoplasm of appendix vermiformis	ICD9CM:1535
<a_94><b_188><c_233>	Malignant neoplasm of ascending colon	ICD9CM:1536
<a_23><b_25><c_19>	Malignant neoplasm of splenic flexure	ICD9CM:1537
<a_94><b_141><c_46>	Malignant neoplasm of other specified sites of large intestine	ICD9CM:1538
<a_94><b_74><c_156>	Malignant neoplasm of colon, unspecified site	ICD9CM:1539
<a_23><b_9><c_200>	Malignant neoplasm of rectosigmoid junction	ICD9CM:1540
<a_94><b_235><c_14>	Malignant neoplasm of rectum	ICD9CM:1541
<a_94><b_38><c_196>	Malignant neoplasm of anal canal	ICD9CM:1542
<a_94><b_74><c_36>	Malignant neoplasm of anus, unspecified site	ICD9CM:1543
<a_26><b_97><c_200>	Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus	ICD9CM:1548
<a_26><b_174><c_91>	Malignant neoplasm of liver, primary	ICD9CM:1550
<a_244><b_112><c_40>	Malignant neoplasm of intrahepatic bile ducts	ICD9CM:1551
<a_26><b_61><c_217>	Malignant neoplasm of liver, not specified as primary or secondary	ICD9CM:1552
<a_23><b_41><c_131>	Malignant neoplasm of gallbladder	ICD9CM:1560
<a_23><b_8><c_177>	Malignant neoplasm of extrahepatic bile ducts	ICD9CM:1561
<a_236><b_145><c_7>	Malignant neoplasm of ampulla of vater	ICD9CM:1562
<a_94><b_145><c_36>	Malignant neoplasm of biliary tract, part unspecified site	ICD9CM:1569
<a_23><b_205><c_211>	Malignant neoplasm of head of pancreas	ICD9CM:1570
<a_236><b_122><c_214>	Malignant neoplasm of tail of pancreas	ICD9CM:1572
<a_236><b_122><c_40>	Malignant neoplasm of pancreatic duct	ICD9CM:1573
<a_23><b_135><c_209>	Malignant neoplasm of other specified sites of pancreas	ICD9CM:1578
<a_94><b_53><c_179>	Malignant neoplasm of pancreas, part unspecified	ICD9CM:1579
<a_236><b_235><c_116>	Malignant neoplasm of retroperitoneum	ICD9CM:1580
<a_23><b_235><c_116>	Malignant neoplasm of specified parts of peritoneum	ICD9CM:1588
<a_94><b_211><c_220>	Malignant neoplasm of peritoneum, unspecified	ICD9CM:1589
<a_23><b_65><c_44>	Malignant neoplasm of other sites of digestive system and intra-abdominal organs	ICD9CM:1598
<a_23><b_195><c_13>	Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum	ICD9CM:1599
<a_10><b_135><c_124>	Malignant neoplasm of maxillary sinus	ICD9CM:1602
<a_10><b_40><c_113>	Malignant neoplasm of ethmoidal sinus	ICD9CM:1603
<a_28><b_76><c_113>	Malignant neoplasm of glottis	ICD9CM:1610
<a_28><b_9><c_52>	Malignant neoplasm of supraglottis	ICD9CM:1611
<a_28><b_51><c_233>	Malignant neoplasm of subglottis	ICD9CM:1612
<a_28><b_83><c_139>	Malignant neoplasm of laryngeal cartilages	ICD9CM:1613
<a_15><b_76><c_11>	Malignant neoplasm of other specified sites of larynx	ICD9CM:1618
<a_15><b_2><c_41>	Malignant neoplasm of larynx, unspecified	ICD9CM:1619
<a_28><b_76><c_133>	Malignant neoplasm of trachea	ICD9CM:1620
<a_28><b_110><c_139>	Malignant neoplasm of main bronchus	ICD9CM:1622
<a_28><b_58><c_46>	Malignant neoplasm of upper lobe, bronchus or lung	ICD9CM:1623
<a_10><b_11><c_131>	Malignant neoplasm of middle lobe, bronchus or lung	ICD9CM:1624
<a_28><b_195><c_40>	Malignant neoplasm of lower lobe, bronchus or lung	ICD9CM:1625
<a_10><b_154><c_200>	Malignant neoplasm of other parts of bronchus or lung	ICD9CM:1628
<a_15><b_157><c_200>	Malignant neoplasm of bronchus and lung, unspecified	ICD9CM:1629
<a_10><b_52><c_217>	Malignant neoplasm of parietal pleura	ICD9CM:1630
<a_15><b_221><c_214>	Malignant neoplasm of pleura, unspecified	ICD9CM:1639
<a_10><b_26><c_48>	Malignant neoplasm of thymus	ICD9CM:1640
<a_10><b_184><c_133>	Malignant neoplasm of anterior mediastinum	ICD9CM:1642
<a_10><b_20><c_53>	Malignant neoplasm of posterior mediastinum	ICD9CM:1643
<a_10><b_239><c_48>	Malignant neoplasm of other parts of mediastinum	ICD9CM:1648
<a_10><b_147><c_36>	Malignant neoplasm of bones of skull and face, except mandible	ICD9CM:1700
<a_64><b_205><c_40>	Malignant neoplasm of long bones of lower limb	ICD9CM:1707
<a_26><b_38><c_14>	Malignant neoplasm of connective and other soft tissue of head, face, and neck	ICD9CM:1710
<a_10><b_190><c_13>	Malignant neoplasm of connective and other soft tissue of thorax	ICD9CM:1714
<a_244><b_200><c_40>	Malignant neoplasm of connective and other soft tissue of abdomen	ICD9CM:1715
<a_64><b_20><c_133>	Malignant neoplasm of connective and other soft tissue of pelvis	ICD9CM:1716
<a_64><b_40><c_124>	Malignant melanoma of skin of lip	ICD9CM:1720
<a_157><b_71><c_40>	Malignant melanoma of skin of other and unspecified parts of face	ICD9CM:1723
<a_64><b_237><c_180>	Malignant melanoma of skin of scalp and neck	ICD9CM:1724
<a_157><b_184><c_179>	Malignant melanoma of skin of trunk, except scrotum	ICD9CM:1725
<a_157><b_211><c_14>	Malignant melanoma of skin of upper limb, including shoulder	ICD9CM:1726
<a_157><b_195><c_161>	Malignant melanoma of skin of lower limb, including hip	ICD9CM:1727
<a_157><b_231><c_151>	Melanoma of skin, site unspecified	ICD9CM:1729
<a_157><b_178><c_40>	Other and unspecified malignant neoplasm of skin of eyelid, including canthus	ICD9CM:1731
<a_157><b_227><c_196>	Other and unspecified malignant neoplasm of skin of ear and external auditory canal	ICD9CM:1732
<a_157><b_76><c_61>	Other and unspecified malignant neoplasm of skin of other and unspecified parts of face	ICD9CM:1733
<a_157><b_21><c_116>	Other and unspecified malignant neoplasm of scalp and skin of neck	ICD9CM:1734
<a_157><b_58><c_40>	Other and unspecified malignant neoplasm of skin of trunk, except scrotum	ICD9CM:1735
<a_157><b_58><c_46>	Other and unspecified malignant neoplasm of skin of lower limb, including hip	ICD9CM:1737
<a_157><b_50><c_40>	Other and unspecified malignant neoplasm of skin, site unspecified	ICD9CM:1739
<a_157><b_127><c_133>	Malignant neoplasm of other specified sites of female breast	ICD9CM:1748
<a_157><b_11><c_39>	Malignant neoplasm of breast (female), unspecified	ICD9CM:1749
<a_157><b_188><c_180>	Malignant neoplasm of other and unspecified sites of male breast	ICD9CM:1759
<a_159><b_195><c_179>	Kaposi's sarcoma, lung	ICD9CM:1764
<a_159><b_190><c_40>	Kaposi's sarcoma, other specified sites	ICD9CM:1768
<a_26><b_48><c_52>	Malignant neoplasm of other specified sites of cervix	ICD9CM:1808
<a_157><b_2><c_211>	Malignant neoplasm of cervix uteri, unspecified site	ICD9CM:1809
<a_236><b_9><c_52>	Malignant neoplasm of corpus uteri, except isthmus	ICD9CM:1820
<a_236><b_83><c_124>	Malignant neoplasm of ovary	ICD9CM:1830
<a_157><b_11><c_235>	Malignant neoplasm of vulva, unspecified site	ICD9CM:1844
<a_230><b_36><c_183>	Malignant neoplasm of prostate	ICD9CM:185
<a_26><b_50><c_179>	Malignant neoplasm of other and unspecified testis	ICD9CM:1869
<a_28><b_241><c_41>	Malignant neoplasm of penis, part unspecified	ICD9CM:1874
<a_230><b_53><c_152>	Malignant neoplasm of dome of urinary bladder	ICD9CM:1881
