<a_2><b_222><c_42>	Salmonella gastroenteritis	ICD9CM:0030
<a_3><b_92><c_53>	Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site	ICD9CM:0416
<a_3><b_252><c_161>	Pseudomonas infection in conditions classified elsewhere and of unspecified site	ICD9CM:0417
<a_3><b_223><c_185>	Bacteroides fragilis	ICD9CM:04182
<a_3><b_223><c_1>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens	ICD9CM:04183
<a_3><b_223><c_225>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes	ICD9CM:04184
<a_3><b_150><c_237>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms	ICD9CM:04185
<a_2><b_131><c_208>	Helicobacter pylori [H. pylori]	ICD9CM:04186
<a_3><b_141><c_148>	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria	ICD9CM:04189
<a_3><b_209><c_162>	Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site	ICD9CM:0419
<a_206><b_38><c_58>	Human immunodeficiency virus [HIV] disease	ICD9CM:042
<a_176><b_191><c_37>	Progressive multifocal leukoencephalopathy	ICD9CM:0463
<a_176><b_123><c_39>	Other specified viral meningitis	ICD9CM:0478
<a_176><b_103><c_164>	Unspecified viral meningitis	ICD9CM:0479
<a_176><b_166><c_157>	Meningitis due to adenovirus	ICD9CM:0491
<a_176><b_251><c_16>	Other specified non-arthropod-borne viral diseases of central nervous system	ICD9CM:0498
<a_176><b_251><c_77>	Unspecified non-arthropod-borne viral diseases of central nervous system	ICD9CM:0499
<a_7><b_2><c_137>	Varicella (hemorrhagic) pneumonitis	ICD9CM:0521
<a_62><b_124><c_102>	Varicella without mention of complication	ICD9CM:0529
<a_176><b_70><c_129>	Herpes zoster with meningitis	ICD9CM:0530
<a_22><b_32><c_108>	Postherpetic polyneuropathy	ICD9CM:05313
<a_22><b_32><c_79>	Herpes zoster with other nervous system complications	ICD9CM:05319
<a_197><b_187><c_86>	Herpes zoster dermatitis of eyelid	ICD9CM:05320
<a_9><b_215><c_40>	Otitis externa due to herpes zoster	ICD9CM:05371
<a_62><b_53><c_169>	Herpes zoster with other specified complications	ICD9CM:05379
<a_62><b_224><c_183>	Herpes zoster without mention of complication	ICD9CM:0539
<a_62><b_141><c_75>	Genital herpes, unspecified	ICD9CM:05410
<a_62><b_38><c_212>	Other genital herpes	ICD9CM:05419
<a_62><b_255><c_71>	Herpetic gingivostomatitis	ICD9CM:0542
<a_176><b_70><c_2>	Herpetic meningoencephalitis	ICD9CM:0543
<a_197><b_59><c_110>	Herpes simplex disciform keratitis	ICD9CM:05443
<a_62><b_53><c_95>	Herpes simplex with other specified complications	ICD9CM:05479
<a_62><b_92><c_25>	Herpes simplex without mention of complication	ICD9CM:0549
<a_62><b_232><c_91>	Other specified viral exanthemata	ICD9CM:0578
<a_62><b_232><c_129>	Viral exanthem, unspecified	ICD9CM:0579
<a_62><b_172><c_40>	Human herpesvirus 6 infection	ICD9CM:05881
<a_62><b_38><c_59>	Other human herpesvirus infection	ICD9CM:05889
<a_180><b_44><c_123>	Viral hepatitis A without mention of hepatic coma	ICD9CM:0701
<a_180><b_139><c_22>	Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta	ICD9CM:07020
<a_180><b_255><c_169>	Chronic viral hepatitis B with hepatic coma without hepatitis delta	ICD9CM:07022
<a_180><b_124><c_189>	Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta	ICD9CM:07030
<a_180><b_209><c_37>	Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta	ICD9CM:07031
<a_180><b_204><c_112>	Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta	ICD9CM:07032
<a_180><b_255><c_1>	Acute hepatitis C with hepatic coma	ICD9CM:07041
<a_180><b_255><c_178>	Chronic hepatitis C with hepatic coma	ICD9CM:07044
<a_180><b_38><c_173>	Acute hepatitis C without mention of hepatic coma	ICD9CM:07051
<a_180><b_44><c_101>	Hepatitis E without mention of hepatic coma	ICD9CM:07053
<a_180><b_255><c_104>	Chronic hepatitis C without mention of hepatic coma	ICD9CM:07054
<a_180><b_19><c_123>	Other specified viral hepatitis without mention of hepatic coma	ICD9CM:07059
<a_180><b_136><c_223>	Unspecified viral hepatitis C without hepatic coma	ICD9CM:07070
<a_180><b_215><c_102>	Unspecified viral hepatitis C with hepatic coma	ICD9CM:07071
<a_180><b_208><c_33>	Unspecified viral hepatitis without mention of hepatic coma	ICD9CM:0709
<a_206><b_255><c_197>	Infectious mononucleosis	ICD9CM:075
<a_206><b_224><c_142>	Other viral conjunctivitis	ICD9CM:0778
<a_62><b_101><c_236>	Viral warts, unspecified	ICD9CM:07810
<a_62><b_245><c_164>	Condyloma acuminatum	ICD9CM:07811
<a_62><b_34><c_173>	Other specified viral warts	ICD9CM:07819
<a_206><b_53><c_197>	Cytomegaloviral disease	ICD9CM:0785
<a_64><b_55><c_77>	Rhinovirus infection in conditions classified elsewhere and of unspecified site	ICD9CM:0793
<a_62><b_116><c_210>	Human papillomavirus in conditions classified elsewhere and of unspecified site	ICD9CM:0794
<a_206><b_205><c_43>	Human T-cell lymphotrophic virus, type I [HTLV-I]	ICD9CM:07951
<a_206><b_209><c_63>	Human immunodeficiency virus, type 2 [HIV-2]	ICD9CM:07953
<a_7><b_151><c_139>	Respiratory syncytial virus (RSV)	ICD9CM:0796
<a_62><b_62><c_112>	Other specified viral infection	ICD9CM:07989
<a_206><b_124><c_33>	Unspecified viral infection	ICD9CM:07999
<a_65><b_171><c_189>	Other ehrlichiosis	ICD9CM:08249
<a_235><b_31><c_95>	Chagas' disease with heart involvement	ICD9CM:0860
<a_65><b_33><c_40>	Bartonellosis	ICD9CM:0880
<a_65><b_33><c_202>	Lyme Disease	ICD9CM:08881
<a_65><b_217><c_178>	Babesiosis	ICD9CM:08882
<a_206><b_34><c_61>	Unspecified secondary syphilis	ICD9CM:0919
<a_77><b_126><c_185>	Syphilitic aortitis	ICD9CM:0931
<a_176><b_194><c_3>	Tabes dorsalis	ICD9CM:0940
<a_128><b_194><c_125>	Neurosyphilis, unspecified	ICD9CM:0949
<a_206><b_215><c_179>	Late syphilis, latent	ICD9CM:096
<a_206><b_34><c_16>	Latent syphilis, unspecified	ICD9CM:0971
<a_206><b_215><c_188>	Reiter's disease	ICD9CM:0993
<a_9><b_141><c_183>	Dermatophytosis of scalp and beard	ICD9CM:1100
<a_9><b_157><c_243>	Dermatophytosis of nail	ICD9CM:1101
<a_9><b_223><c_129>	Dermatophytosis of groin and perianal area	ICD9CM:1103
<a_9><b_157><c_101>	Dermatophytosis of foot	ICD9CM:1104
<a_9><b_157><c_28>	Dermatophytosis of the body	ICD9CM:1105
<a_9><b_232><c_202>	Dermatophytosis of other specified sites	ICD9CM:1108
<a_9><b_232><c_147>	Dermatophytosis of unspecified site	ICD9CM:1109
<a_9><b_232><c_102>	Other specified dermatomycoses	ICD9CM:1118
<a_9><b_232><c_222>	Dermatomycosis, unspecified	ICD9CM:1119
<a_64><b_53><c_14>	Candidiasis of mouth	ICD9CM:1120
<a_64><b_224><c_189>	Candidiasis of vulva and vagina	ICD9CM:1121
<a_196><b_254><c_222>	Candidiasis of other urogenital sites	ICD9CM:1122
<a_9><b_150><c_168>	Candidiasis of skin and nails	ICD9CM:1123
<a_7><b_164><c_35>	Candidiasis of lung	ICD9CM:1124
<a_64><b_167><c_104>	Disseminated candidiasis	ICD9CM:1125
<a_64><b_38><c_253>	Candidal endocarditis	ICD9CM:11281
<a_64><b_11><c_70>	Candidal meningitis	ICD9CM:11283
<a_64><b_181><c_58>	Candidal esophagitis	ICD9CM:11284
<a_65><b_76><c_65>	Candidal enteritis	ICD9CM:11285
<a_64><b_152><c_220>	Other candidiasis of other specified sites	ICD9CM:11289
<a_64><b_208><c_236>	Candidiasis of unspecified site	ICD9CM:1129
<a_7><b_205><c_173>	Infection by Histoplasma capsulatum, pneumonia	ICD9CM:11505
<a_64><b_62><c_1>	Histoplasmosis, unspecified, without mention of manifestation	ICD9CM:11590
<a_64><b_62><c_17>	Histoplasmosis, unspecified, other	ICD9CM:11599
<a_7><b_181><c_58>	Aspergillosis	ICD9CM:1173
<a_64><b_214><c_91>	Cryptococcosis	ICD9CM:1175
<a_64><b_73><c_161>	Zygomycosis [Phycomycosis or Mucormycosis]	ICD9CM:1177
<a_9><b_132><c_222>	Other and unspecified mycoses	ICD9CM:1179
<a_64><b_44><c_176>	Opportunistic mycoses	ICD9CM:118
<a_65><b_124><c_206>	Other specified schistosomiasis	ICD9CM:1208
<a_65><b_124><c_195>	Schistosomiasis, unspecified	ICD9CM:1209
<a_65><b_92><c_104>	Clonorchiasis	ICD9CM:1211
<a_65><b_255><c_7>	Cysticercosis	ICD9CM:1231
<a_65><b_220><c_21>	Malayan filariasis	ICD9CM:1251
<a_65><b_141><c_183>	Strongyloidiasis	ICD9CM:1272
<a_65><b_182><c_1>	Meningoencephalitis due to toxoplasmosis	ICD9CM:1300
<a_174><b_53><c_2>	Toxoplasmosis of other specified sites	ICD9CM:1307
<a_174><b_53><c_110>	Toxoplasmosis, unspecified	ICD9CM:1309
<a_172><b_231><c_166>	Trichomonal vulvovaginitis	ICD9CM:13101
<a_62><b_131><c_77>	Scabies	ICD9CM:1330
<a_7><b_10><c_43>	Sarcoidosis	ICD9CM:135
<a_7><b_209><c_140>	Pneumocystosis	ICD9CM:1363
<a_206><b_62><c_140>	Unspecified infectious and parasitic diseases	ICD9CM:1369
<a_40><b_95><c_232>	Late effects of respiratory or unspecified tuberculosis	ICD9CM:1370
<a_176><b_116><c_41>	Late effects of acute poliomyelitis	ICD9CM:138
<a_176><b_70><c_49>	Late effects of viral encephalitis	ICD9CM:1390
<a_206><b_163><c_207>	Late effects of other and unspecified infectious and parasitic diseases	ICD9CM:1398
<a_147><b_192><c_50>	Malignant neoplasm of upper lip, vermilion border	ICD9CM:1400
<a_147><b_158><c_21>	Malignant neoplasm of lip, unspecified, vermilion border	ICD9CM:1409
<a_36><b_114><c_160>	Malignant neoplasm of base of tongue	ICD9CM:1410
<a_147><b_73><c_236>	Malignant neoplasm of other sites of tongue	ICD9CM:1418
<a_147><b_73><c_166>	Malignant neoplasm of tongue, unspecified	ICD9CM:1419
<a_147><b_252><c_93>	Malignant neoplasm of parotid gland	ICD9CM:1420
<a_147><b_108><c_189>	Malignant neoplasm of anterior portion of floor of mouth	ICD9CM:1440
<a_147><b_87><c_24>	Malignant neoplasm of hard palate	ICD9CM:1452
<a_147><b_73><c_233>	Malignant neoplasm of soft palate	ICD9CM:1453
<a_36><b_218><c_61>	Malignant neoplasm of vallecula epiglottica	ICD9CM:1463
<a_36><b_218><c_161>	Malignant neoplasm of anterior aspect of epiglottis	ICD9CM:1464
<a_36><b_254><c_36>	Malignant neoplasm of posterior wall of nasopharynx	ICD9CM:1471
<a_36><b_254><c_166>	Malignant neoplasm of other specified sites of nasopharynx	ICD9CM:1478
<a_36><b_254><c_41>	Malignant neoplasm of nasopharynx, unspecified site	ICD9CM:1479
<a_36><b_192><c_227>	Malignant neoplasm of pyriform sinus	ICD9CM:1481
<a_36><b_129><c_21>	Malignant neoplasm of other specified sites of hypopharynx	ICD9CM:1488
<a_36><b_102><c_167>	Malignant neoplasm of hypopharynx, unspecified site	ICD9CM:1489
<a_36><b_102><c_77>	Malignant neoplasm of pharynx, unspecified	ICD9CM:1490
<a_32><b_119><c_77>	Malignant neoplasm of cervical esophagus	ICD9CM:1500
<a_32><b_153><c_169>	Malignant neoplasm of thoracic esophagus	ICD9CM:1501
<a_32><b_119><c_236>	Malignant neoplasm of upper third of esophagus	ICD9CM:1503
<a_32><b_119><c_65>	Malignant neoplasm of middle third of esophagus	ICD9CM:1504
<a_32><b_153><c_128>	Malignant neoplasm of lower third of esophagus	ICD9CM:1505
<a_32><b_119><c_151>	Malignant neoplasm of other specified part of esophagus	ICD9CM:1508
<a_32><b_112><c_236>	Malignant neoplasm of esophagus, unspecified site	ICD9CM:1509
<a_32><b_100><c_232>	Malignant neoplasm of cardia	ICD9CM:1510
<a_32><b_220><c_139>	Malignant neoplasm of pyloric antrum	ICD9CM:1512
<a_32><b_10><c_1>	Malignant neoplasm of fundus of stomach	ICD9CM:1513
<a_32><b_204><c_95>	Malignant neoplasm of body of stomach	ICD9CM:1514
<a_32><b_61><c_210>	Malignant neoplasm of greater curvature of stomach, unspecified	ICD9CM:1516
<a_32><b_10><c_3>	Malignant neoplasm of other specified sites of stomach	ICD9CM:1518
<a_32><b_61><c_169>	Malignant neoplasm of stomach, unspecified site	ICD9CM:1519
<a_139><b_166><c_201>	Malignant neoplasm of duodenum	ICD9CM:1520
<a_139><b_133><c_239>	Malignant neoplasm of jejunum	ICD9CM:1521
<a_139><b_164><c_175>	Malignant neoplasm of ileum	ICD9CM:1522
<a_139><b_237><c_61>	Malignant neoplasm of other specified sites of small intestine	ICD9CM:1528
<a_139><b_237><c_140>	Malignant neoplasm of small intestine, unspecified site	ICD9CM:1529
<a_139><b_136><c_2>	Malignant neoplasm of hepatic flexure	ICD9CM:1530
<a_139><b_158><c_77>	Malignant neoplasm of transverse colon	ICD9CM:1531
<a_139><b_39><c_255>	Malignant neoplasm of descending colon	ICD9CM:1532
<a_139><b_192><c_45>	Malignant neoplasm of sigmoid colon	ICD9CM:1533
<a_139><b_39><c_183>	Malignant neoplasm of cecum	ICD9CM:1534
<a_139><b_217><c_109>	Malignant neoplasm of appendix vermiformis	ICD9CM:1535
<a_139><b_158><c_226>	Malignant neoplasm of ascending colon	ICD9CM:1536
<a_139><b_39><c_123>	Malignant neoplasm of splenic flexure	ICD9CM:1537
<a_139><b_25><c_194>	Malignant neoplasm of other specified sites of large intestine	ICD9CM:1538
<a_139><b_211><c_169>	Malignant neoplasm of colon, unspecified site	ICD9CM:1539
<a_139><b_1><c_97>	Malignant neoplasm of rectosigmoid junction	ICD9CM:1540
<a_139><b_1><c_53>	Malignant neoplasm of rectum	ICD9CM:1541
<a_139><b_1><c_1>	Malignant neoplasm of anal canal	ICD9CM:1542
<a_139><b_1><c_16>	Malignant neoplasm of anus, unspecified site	ICD9CM:1543
<a_139><b_1><c_5>	Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus	ICD9CM:1548
<a_246><b_114><c_67>	Malignant neoplasm of liver, primary	ICD9CM:1550
<a_246><b_15><c_106>	Malignant neoplasm of intrahepatic bile ducts	ICD9CM:1551
<a_246><b_33><c_110>	Malignant neoplasm of liver, not specified as primary or secondary	ICD9CM:1552
<a_246><b_15><c_149>	Malignant neoplasm of gallbladder	ICD9CM:1560
<a_246><b_30><c_211>	Malignant neoplasm of extrahepatic bile ducts	ICD9CM:1561
<a_246><b_30><c_146>	Malignant neoplasm of ampulla of vater	ICD9CM:1562
<a_246><b_15><c_112>	Malignant neoplasm of biliary tract, part unspecified site	ICD9CM:1569
<a_246><b_153><c_112>	Malignant neoplasm of head of pancreas	ICD9CM:1570
<a_246><b_153><c_201>	Malignant neoplasm of tail of pancreas	ICD9CM:1572
<a_246><b_153><c_71>	Malignant neoplasm of pancreatic duct	ICD9CM:1573
<a_246><b_129><c_203>	Malignant neoplasm of other specified sites of pancreas	ICD9CM:1578
<a_246><b_129><c_36>	Malignant neoplasm of pancreas, part unspecified	ICD9CM:1579
<a_246><b_237><c_210>	Malignant neoplasm of retroperitoneum	ICD9CM:1580
<a_246><b_237><c_175>	Malignant neoplasm of specified parts of peritoneum	ICD9CM:1588
<a_246><b_237><c_169>	Malignant neoplasm of peritoneum, unspecified	ICD9CM:1589
<a_246><b_223><c_202>	Malignant neoplasm of other sites of digestive system and intra-abdominal organs	ICD9CM:1598
<a_246><b_223><c_95>	Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum	ICD9CM:1599
<a_147><b_28><c_91>	Malignant neoplasm of maxillary sinus	ICD9CM:1602
<a_147><b_28><c_164>	Malignant neoplasm of ethmoidal sinus	ICD9CM:1603
<a_36><b_165><c_92>	Malignant neoplasm of glottis	ICD9CM:1610
<a_36><b_108><c_169>	Malignant neoplasm of supraglottis	ICD9CM:1611
<a_36><b_165><c_248>	Malignant neoplasm of subglottis	ICD9CM:1612
<a_36><b_186><c_92>	Malignant neoplasm of laryngeal cartilages	ICD9CM:1613
<a_36><b_252><c_67>	Malignant neoplasm of other specified sites of larynx	ICD9CM:1618
<a_36><b_252><c_95>	Malignant neoplasm of larynx, unspecified	ICD9CM:1619
<a_5><b_250><c_220>	Malignant neoplasm of trachea	ICD9CM:1620
<a_5><b_214><c_183>	Malignant neoplasm of main bronchus	ICD9CM:1622
<a_5><b_225><c_105>	Malignant neoplasm of upper lobe, bronchus or lung	ICD9CM:1623
<a_5><b_225><c_18>	Malignant neoplasm of middle lobe, bronchus or lung	ICD9CM:1624
<a_5><b_225><c_230>	Malignant neoplasm of lower lobe, bronchus or lung	ICD9CM:1625
<a_5><b_252><c_173>	Malignant neoplasm of other parts of bronchus or lung	ICD9CM:1628
<a_5><b_47><c_211>	Malignant neoplasm of bronchus and lung, unspecified	ICD9CM:1629
<a_5><b_254><c_20>	Malignant neoplasm of parietal pleura	ICD9CM:1630
<a_5><b_254><c_127>	Malignant neoplasm of pleura, unspecified	ICD9CM:1639
<a_5><b_30><c_46>	Malignant neoplasm of thymus	ICD9CM:1640
<a_5><b_30><c_50>	Malignant neoplasm of anterior mediastinum	ICD9CM:1642
<a_5><b_30><c_1>	Malignant neoplasm of posterior mediastinum	ICD9CM:1643
<a_5><b_30><c_16>	Malignant neoplasm of other parts of mediastinum	ICD9CM:1648
<a_147><b_145><c_221>	Malignant neoplasm of bones of skull and face, except mandible	ICD9CM:1700
<a_39><b_165><c_112>	Malignant neoplasm of long bones of lower limb	ICD9CM:1707
<a_147><b_86><c_182>	Malignant neoplasm of connective and other soft tissue of head, face, and neck	ICD9CM:1710
<a_5><b_114><c_61>	Malignant neoplasm of connective and other soft tissue of thorax	ICD9CM:1714
<a_144><b_11><c_128>	Malignant neoplasm of connective and other soft tissue of abdomen	ICD9CM:1715
<a_39><b_109><c_115>	Malignant neoplasm of connective and other soft tissue of pelvis	ICD9CM:1716
<a_147><b_114><c_163>	Malignant melanoma of skin of lip	ICD9CM:1720
<a_39><b_102><c_105>	Malignant melanoma of skin of other and unspecified parts of face	ICD9CM:1723
<a_39><b_153><c_157>	Malignant melanoma of skin of scalp and neck	ICD9CM:1724
<a_39><b_114><c_160>	Malignant melanoma of skin of trunk, except scrotum	ICD9CM:1725
<a_39><b_136><c_92>	Malignant melanoma of skin of upper limb, including shoulder	ICD9CM:1726
<a_39><b_13><c_76>	Malignant melanoma of skin of lower limb, including hip	ICD9CM:1727
<a_39><b_180><c_166>	Melanoma of skin, site unspecified	ICD9CM:1729
<a_39><b_112><c_67>	Other and unspecified malignant neoplasm of skin of eyelid, including canthus	ICD9CM:1731
<a_39><b_206><c_170>	Other and unspecified malignant neoplasm of skin of ear and external auditory canal	ICD9CM:1732
<a_39><b_102><c_133>	Other and unspecified malignant neoplasm of skin of other and unspecified parts of face	ICD9CM:1733
<a_39><b_102><c_61>	Other and unspecified malignant neoplasm of scalp and skin of neck	ICD9CM:1734
<a_39><b_99><c_18>	Other and unspecified malignant neoplasm of skin of trunk, except scrotum	ICD9CM:1735
<a_39><b_209><c_123>	Other and unspecified malignant neoplasm of skin of lower limb, including hip	ICD9CM:1737
<a_16><b_119><c_111>	Other and unspecified malignant neoplasm of skin, site unspecified	ICD9CM:1739
<a_39><b_21><c_146>	Malignant neoplasm of other specified sites of female breast	ICD9CM:1748
<a_39><b_21><c_222>	Malignant neoplasm of breast (female), unspecified	ICD9CM:1749
<a_39><b_21><c_179>	Malignant neoplasm of other and unspecified sites of male breast	ICD9CM:1759
<a_16><b_140><c_195>	Kaposi's sarcoma, lung	ICD9CM:1764
<a_16><b_52><c_201>	Kaposi's sarcoma, other specified sites	ICD9CM:1768
<a_144><b_140><c_251>	Malignant neoplasm of other specified sites of cervix	ICD9CM:1808
<a_144><b_255><c_3>	Malignant neoplasm of cervix uteri, unspecified site	ICD9CM:1809
<a_144><b_38><c_202>	Malignant neoplasm of corpus uteri, except isthmus	ICD9CM:1820
<a_144><b_72><c_6>	Malignant neoplasm of ovary	ICD9CM:1830
<a_144><b_255><c_1>	Malignant neoplasm of vulva, unspecified site	ICD9CM:1844
<a_66><b_225><c_184>	Malignant neoplasm of prostate	ICD9CM:185
<a_66><b_214><c_228>	Malignant neoplasm of other and unspecified testis	ICD9CM:1869
<a_66><b_230><c_175>	Malignant neoplasm of penis, part unspecified	ICD9CM:1874
<a_66><b_205><c_139>	Malignant neoplasm of dome of urinary bladder	ICD9CM:1881
